Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
yP2pvr4,10YBxg,5/8/2025 20:26,recpTKZoZqKyb2vTC,,,,Yes,,,,,,,,,
obeZeLN,j44rR4,5/9/2025 7:34,recU1rnbDNRhiet4K,0,,,No,No,Yes,Yes,Now is one year my phone is still at your shop for repair,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,When will I get my phone back
Y5RDvqB,qqzy4k,5/9/2025 13:58,recZ4rGnRAkjQGKqA,10,,,,Yes,No,"No, I have never looked for customer care",,,,,,
OD4x00a,K2Kl0k,5/9/2025 17:08,recCczTOJIPXFDmeC,9,,,Yes,Yes,Yes,Yes,Had to call agents multiple times for my phone to be unlocked,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
7RL8PZ9,60XvRk,5/11/2025 8:06,recgCj8GZBKuYAzeu,7,,,No,Yes,No,No,Na,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Na
A72oevk,60PKkB,5/11/2025 13:57,recy5EI2y3pUBSkda,10,,,Yes,Yes,No,No,You are the best in service production,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Your phones are the best
gDqj2QD,VWE81N,5/11/2025 20:32,rec9tMBDrNHWByRGl,9,,,,,,,,,,,,
Gx9BGd2,zBdDQg,5/12/2025 10:53,recraQNy1L5aS9aR1,7,,,Yes,Yes,Yes,Yes,Customer care service is down,,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,,
pboye7q,ap9N5y,5/12/2025 15:31,recS99ayhL336fI3L,0,,,No,No,No,Yes,"The phone that iwas given its hanging,heating up .Aam even regreting to why ipicked it and yet you charge me to add on it ican never recommend anyone to pick the phone from you guys",Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,You need to deliver quality things
vGDDK2d,jYxOpJ,5/12/2025 20:51,recS21GF5g7q6Jggf,9,,,No,Yes,No,No,Your responds to customers are good i like it,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Having issue with my battery
KYxlEbk,z8Mj0Z,5/13/2025 11:20,recrPTYJYCKBGpp2x,8,,,Yes,Yes,No,No,Using some apps or downloading from browser is blocked.,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None.
LZKd9vJ,q8GlgG,5/13/2025 15:06,recuSqZSo2O80t0wi,10,,,Yes,Yes,Yes,No,Am ok,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I am happy and willing to urge my friends to go for mophones because of best quality
4472Gyr,Wa82BQ,5/13/2025 16:19,rechL2lktLH3iS3TR,8,,,No,Yes,Yes,No,.,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,.
Mea5bQX,Kr1pEK,5/13/2025 22:40,recZbt1Jv0uN6sfcw,8,,,Yes,Yes,,,,,,,,
obRLxJN,Y7xdAJ,5/18/2025 7:34,recPbvGrgPqthyjes,10,,,Yes,Yes,No,No,No challenge,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
lbOk5gX,BJ2ZOQ,5/18/2025 7:47,recBd7NAjVdtmYbIW,6,,,,,,,,,,,,
MeapgpM,eGzXYe,5/18/2025 7:51,recRWTGs5DWMaJVUb,10,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,The phone has a bad battery
68KE9kP,PZGlQP,5/18/2025 7:53,recgxIBSCAxDSZ5bT,5,,,No,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"Personally the Only problem Am facing with my my device is bringing it back to you for repair now and then. I have been in your office pioneer house for more than 6 times The screen is dimming off on its own. I have paid my device three quarter, I have now given up on this Samsung note 20. My ID 30127155"
dW0eVPK,4lpv9Y,5/18/2025 7:56,recj7ZHbk51zhJkSE,10,,,Yes,Yes,Yes,Yes,No 24hour support was annoying. Also the fact that sending someone on your behalf is so hectic. Some of us have busy schedule and delegation is the only solution.,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Do I get a discount for my next purchase?
ODXMyLR,r8kLkR,5/18/2025 7:57,recACWnGWaEcuAx35,10,,,Yes,Yes,No,No,Yes,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Okay
Ekl7YD4,GOQD5k,5/18/2025 7:58,recfy1INwVvgIaa5C,7,,,Yes,Yes,No,"No, I have never looked for customer care",No I have never looked for customer care,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I am glad with the service
rjOMW9o,29Dv6b,5/18/2025 7:58,recdwTRxTLaNtLEgW,8,,,Yes,Yes,Yes,,,,,,,
5B9P57Z,JEWDyz,5/18/2025 8:00,reclV957PJowsgrCF,8,,,Yes,Yes,No,No,Ok,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
2EB8oNg,rQYMBp,5/18/2025 8:00,recY1T7InO4NGs4I2,10,,,Yes,Yes,Yes,Yes,You need to put one contact,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No
2EAG5ML,RqVYXK,5/18/2025 8:04,recri36SyjFAYah5u,10,,,Yes,Yes,No,"No, I have never looked for customer care",i think everything is well,Yes,"No, I have never used it",Free SMS – 25044,No,i dont have anything else
2EAGyve,L46Jd1,5/18/2025 8:05,reckAeNgVLfxBZq0S,10,,,Yes,Yes,No,No,Am okay,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,Just okay
9qZjyJ5,VW4Mla,5/18/2025 8:07,rect0TYvU6fu6linL,10,,,Yes,Yes,No,No,???? ?????????? ???????????? ???? ?????? ?????????????? ????????,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,???? ?????????? ????????????
b5eQy6L,x8lPPJ,5/18/2025 8:07,recEojr7uurePlbjZ,10,,,Yes,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,None for now
5B9PDDM,apaDA2,5/18/2025 8:07,recOYR5NPfwdDngZQ,,,,Yes,Yes,,,,,,,,
BzpWlbR,4lpokb,5/18/2025 8:08,rec5Tl3rDxUGphoef,0,,,No,No,No,Yes,"“In emergencies, people may have only cash on hand or be outside network coverage, yet their phones get locked. In fact, Mophones phones are the worst offenders in town.” I just feel to stop using",Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
gDq616M,l8M7zo,5/18/2025 8:10,rec9lrZZRT4xId51s,4,,,Yes,Yes,No,Yes,There was no challenge,,,,,
XxoPkkO,9AoERX,5/18/2025 8:10,recX58Jm6Tvy5AuQr,0,,,No,No,No,Yes,"My Samsung note 20 ultra stopped working, I came there for assistance and I was told pay 4500/=",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,"My Samsung note 20 ultra just shuttered down and now it can't work,"
pbop6eJ,EoNJVX,5/18/2025 8:12,recAopW7aUhvEHhwz,3,,,Yes,Yes,,,,,,,,
KYxKZdX,RqVJa9,5/18/2025 8:13,recD4VNOHnANe2IPD,10,,,Yes,Yes,No,No,Am ok,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Every is ok
rjOMbxX,b1642e,5/18/2025 8:21,rec9QuJixQvLc9SuF,,,,No,,,,,,,,,
Ekl7rEX,M2VoXp,5/18/2025 8:21,recM1IsgG9DRno0MA,1,,,No,No,No,Yes,I contact the customer care nobody pick up I went there myself to fix the phones who's giving me issues no follow ups,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The items I have not good quality
KYeQr58,X7QKRV,5/18/2025 8:22,recoY52g8vVHAhvdL,7,,,Yes,Yes,,,,,,,,
A7peNd0,EoNbAA,5/18/2025 8:24,recDzbomlKSbzFbvu,,,,No,,,,,,,,,
WORVXMJ,L46Mqy,5/18/2025 8:28,reccCF4vGLs8pKteO,10,,,Yes,Yes,No,No,Non playstore appa update should be done remotely if possible,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Can app update be done remotely for non playsrore apps
dW0eXRV,GOQBGZ,5/18/2025 8:28,recwOIXfEpt3r42dD,9,,,Yes,Yes,No,No,None,Yes,,,,
yP45bvg,dJkZZo,5/18/2025 8:36,recdnXr2tCOVJmj7y,10,,,Yes,Yes,No,No,Not applicable,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None other.
J9lvbyd,pYk0rE,5/18/2025 8:37,recThBBjoC1sbOuxU,9,,,Yes,Yes,Yes,Yes,KINDLY expadiate From The Time One Engaged From Robot To CC.,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Keep Up The GOOD WORK
GxpAVAL,1Qpb0b,5/18/2025 8:43,recJJooC0TN9L05A2,0,,,No,No,No,Yes,"My phone is faulty. I tried to have it fixed at your office over three times but the problem was never resolved, so I gave up! Now I'm paying for a device that is broken.",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
ODXMqaK,apaj8B,5/18/2025 8:45,recHdnUmvQS03nEZo,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Be readily available
b5j4pGg,8DrQgx,5/18/2025 8:47,recvYKKj7buDfB7b0,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,None
LZz1qvz,PNroWx,5/18/2025 8:48,recMbq0BKT2x5kP4T,10,,,Yes,Yes,No,No,Everything is well,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Good service
1A4o0BW,WajlPR,5/18/2025 8:49,recCBcin4lDWAnUV4,10,,,No,Yes,No,"No, I have never looked for customer care",,,,,,
7RKr0PA,o8kloN,5/18/2025 8:50,recg8wlsfOAYAB3xe,0,,,No,No,No,No,No,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
VLPOWQJ,x8l9EG,5/18/2025 8:56,reclHEP9Q9w2nLDjs,10,,,Yes,Yes,Yes,No,Na,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Nothing
vGD58rv,0qDozZ,5/18/2025 8:56,recW8LK1T4RtzlgGC,9,,,Yes,Yes,Yes,Yes,"Bot response,never responds",No,"No, I have never used it",Reach Out via a Sales Agent,No,Inprove on bot response
XxoP6Ze,RqVvLp,5/18/2025 9:05,recyqGx7s1EwojCCj,1,,,Yes,Yes,Yes,Yes,Mostly delay in receiving calls when calling,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Battery runs out quickly
Ekl77Bq,4lpAyX,5/18/2025 9:16,recKhz6XVNRiMJ74K,0,,,No,No,No,No,I'm not happy with the service of this phone as it has many restrictions I can enjoy the real Samsung. Why is it displaying that it belongs to your organization yet I'm paying??,No,"No, I have never used it",Reach Out via a Sales Agent,Yes,I'm not happy with the performances of the phone
0Q8RWKy,GOQqVk,5/18/2025 9:23,recZupjyz7ItnYfbj,8,,,Yes,Yes,Yes,Yes,No need,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No
D4p681l,k8kkbj,5/18/2025 9:25,recPnzxYXBT7i6BeN,10,,,Yes,Yes,,,,,,,,
7Rblr19,RaLygv,5/18/2025 9:26,recPG0DYTJYTqGMDD,4,,,No,Yes,No,Yes,About my 5g networking,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,I need help
WORVWKj,EoNNQl,5/18/2025 9:28,recJaLZQorxXiuTe4,,,,Yes,Yes,,,,,,,,
jaoARQY,j8kkD6,5/18/2025 9:29,recVDddS8uVoK9uQD,6,,,Yes,Yes,Yes,No,N/A,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"make it easy for people to access the app after locking, sometimes fails and uiu want to make payment"
QKRlZdX,8bRRzo,5/18/2025 9:29,recnIfuYY14ChZlf0,0,,,No,No,Yes,Yes,You people sell phones that are old mone doesn't have a network .So i am actually paying for something that's not working. i will recommend people not to buy fro. You,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,None just sell quality not crap phones
QKRlbMp,o8kk1M,5/18/2025 9:36,recUt4LmWCJhkPemh,10,,,Yes,Yes,No,No,Excellent services,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Your support services are world class. Mophones any day ??
 I will come for an upgrade soon"
81L49zP,r8kvdo,5/18/2025 9:43,recfa8x7zRNpmmMKa,3,,,No,,,,,,,,,
ODXMvAR,q8kzd2,5/18/2025 9:53,rec0r5B9DshdGIgdQ,5,,,Yes,Yes,,,,,,,,
gDq6KPM,dJkRjA,5/18/2025 10:04,recXj4AVsrlSHfGNW,7,,,,,,,,,,,,
BzpWPGY,N2ROvj,5/18/2025 10:07,recSLBefFIbaYRcnZ,8,,,Yes,Yes,No,No,None,,,,,
0Q8R2eN,dJkgjo,5/18/2025 10:13,recjby8S4ke8zH5bj,5,,,No,Yes,No,No,I need one ui7,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,I need one ui7
LZK218j,29DZRV,5/18/2025 10:27,recs08B5f3sh5hizW,10,,,Yes,No,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
gDqoDkd,JEWY9R,5/18/2025 10:32,rec8GtEiJVXB3rD25,8,,,Yes,Yes,Yes,No,NA,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,NA
jaoVa29,r8kWOl,5/18/2025 10:34,recR9BfSGqxMNBdoY,6,,,Yes,No,Yes,No,You dont remind me before switching off my phone. Feels soo bad,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
447bQJX,pYk1BJ,5/18/2025 10:49,recnzSq9tQOQUjwi3,0,,,Yes,No,Yes,Yes,"I was to pay the phone in three months plan then now I have 6 months which I don't understand, 
 2ndly I tried to get assistance from you but no one assisted me,
 I would never recommend anyone to mo-phones and I will never use your services after this",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"I am not satisfied with the way you handled me and as your client I am extremely disappointed and frustrated, I personally will never ever use your services again or recommend anyone to use mo-phones ever"
EklOqOL,egYlZQ,5/18/2025 10:53,recAH5Ag1dhSdncBc,9,,,Yes,Yes,No,Yes,"Phone locked in the evening while off internet and no one picking support line. Struggled with the ussd, but eventually managed",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Make it easier to access support any time especially for those who work at night
7RKkxea,j8k4BE,5/18/2025 11:33,reclXZ6CijrSdvgMu,8,,,Yes,Yes,Yes,No,Not yet,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Thanks
pbo27PZ,8bRXOO,5/18/2025 12:27,recOtU7lGjQT359Ds,9,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
68KBOAo,29DpqV,5/18/2025 12:33,rect7NSSBlLW8Kwji,9,,,Yes,Yes,No,Yes,Please give a call or send a text before switched off the phone ??,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Kindly give me a call or text before switched off the phone
pbo2kQ8,9AoLa1,5/18/2025 13:14,recc4f0SpTvrOWVLY,0,,,No,No,Yes,Yes,They take long to respond to the customer,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,N/A
68KB5YP,Yvdlod,5/18/2025 13:51,reci3vN9UMDfUIbKH,9,,,Yes,Yes,No,No,NA,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,NA
rjOZb0l,l8vqk6,5/18/2025 14:04,recnTQBuY92YjX15h,9,,,Yes,Yes,Yes,No,When I pay I should know my balance,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Had some challenges in paying but need to resume paying thou my time elapsed
ODXMWPk,dJkRoK,5/18/2025 14:58,recSOzT3mIVxdHO1j,8,,,Yes,Yes,No,No,None yet,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
LZK2R4j,8bMk5A,5/18/2025 15:19,recTa8o3gQkTm3lP4,8,,,Yes,Yes,No,Yes,Network problem,No,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,Nòooo
A7pg2VN,BJ0Lk5,5/18/2025 16:16,recRnpyhCravudRW9,0,,,Yes,Yes,Yes,Yes,"You need to be able to answer our calls.
 Calls going unanswered is not appreciated",Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Your phones are expensive. 
 Hata kama ni kulipa polepole...taking 100% profit is way above greediness"
5B978EE,VWDy76,5/18/2025 18:09,recuFG0Y4QwycaTFU,5,,,Yes,No,Yes,Yes,"Why is it that when we call it takes time to get phone answered.
 You sometime lock phone before the time agreed.
 The phone keeps on locking most of time I restart my phone having reached your office for the same I haven't got permanent solution",No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Kindly improve on your front office the phone call attendance
xXDqLEr,L4k2BJ,5/18/2025 19:32,recLsuDOkLOrDseEq,3,,,Yes,No,Yes,Yes,My app doesn't work,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,No
Mea4ZPp,q8vyZO,5/18/2025 20:00,recQgI6pDoRLiTBCT,0,,,No,Yes,Yes,Yes,Not being able t get to the services agent swiftly,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Device Battery is extemely horrible for the Samsung S22 Ultra provided
zxM98bM,2972Yj,5/18/2025 20:07,recDIyqeSJ04kUBpm,10,,,Yes,Yes,No,Yes,take long before get customer care. slow in responds,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,nop
447MDab,dJzv5V,5/19/2025 2:24,recWRnWE25sYXEhah,7,,,No,Yes,No,Yes,The offices are different and I couldn't be assuming they are,No,,,,
obRJDDe,QW0lY8,5/19/2025 4:38,recNxtJZiOFjRDLhD,5,,,Yes,No,Yes,Yes,I requested to get some time in advance so that I can pay later but my request was ignored,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
BzKzzqY,rQqo2M,5/19/2025 5:45,recNS6maFDgoRY8hF,5,,,Yes,Yes,Yes,No,because I have never call support,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,your phone can't store battery for a long time
GxpMD7j,OxEOxR,5/19/2025 5:55,recXrQ8B4lgYI0PXg,9,,,Yes,Yes,No,No,no challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,nothing
Mea09Ml,KrR0dK,5/19/2025 8:35,recxM8YsF8UxuJb5s,7,,,Yes,No,Yes,Yes,I paid to have my device unlocked but it took like 4hours to have it unlocked,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Bring the option to swap phones
rjOzMy5,q8gkWO,5/19/2025 15:11,recff2dO9PuTWBiJe,8,,,Yes,Yes,No,No,,,,,,
XxoVYWd,X6gQzg,5/19/2025 21:24,reczZPqAcCvmUlkOy,8,,,Yes,Yes,Yes,Yes,When I call Your customer care number it need someone to have a credit so that you can manage to be assisted by mophome customer care..,Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,Customer care number should be available for calls 24/7
rjoyl4R,x8BDWG,5/20/2025 2:14,recOVJ2H3AWY7f7lS,10,,,Yes,Yes,No,Yes,"I called when it was urgent but you didn't pick.
 always be punctual on picking calls",Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,thanks for the good service
xXJJMdJ,r1EM2v,5/21/2025 7:36,rec0pdIYnvM9790yb,10,,,No,Yes,Yes,Yes,I like am unable to pay everytime it's requesting I register,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,No
PdzzVgd,o8NMrP,5/21/2025 11:06,recuPiDs49slLGuXA,10,,,Yes,Yes,Yes,No,N/A,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Device is exemplay good
aQ2GxNb,L42DpJ,5/22/2025 6:08,recHab0M881w73Wnt,9,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,Good service
5BZlaNP,ZbxzZy,5/23/2025 5:49,rectQZKGYzw4i218T,9,,,Yes,Yes,,,,,,,,
0QeABrB,Ae76Yy,5/24/2025 7:05,recGXnNOYBVE6dBJ8,5,,,Yes,Yes,Yes,"No, I have never looked for customer care",.,No,"No, I have never used it",,,
Zj2Wa8V,ppeoXJ,5/24/2025 12:35,recVmKgaSvaauKVj0,0,,,,,,,,,,,,
44K5dyk,1orzMM,5/27/2025 7:51,recpea5xiSaSDK41s,6,,,No,Yes,No,"No, I have never looked for customer care",No,,"No, I have never used it",,,
0QO7AYQ,ZrzDEo,5/28/2025 16:09,recHpSTKruLZylEJJ,10,,,Yes,Yes,,,,,,,,
obGOEyO,0RDr9Q,5/30/2025 8:22,rec6SbojKYwQJdEHs,5,,,No,Yes,Yes,No,It sometimes takes time to unlock the phone even after payment,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
PdO0pex,0RDr9Q,5/30/2025 8:23,rec6SbojKYwQJdEHs,5,,,No,,,,,,,,,
Bz7DDzY,jAvJQQ,5/30/2025 16:56,recSUkWV2KuNiCPh0,0,,,No,No,No,"No, I have never looked for customer care",N/A,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,"YOUR PHONE BATTERY IS ZERO. ALSO, MY PHONE IS HANGING ALL THE TIME. REACH OUT TO ME 0724507033"
RGPJ5Gp,GAbele,5/30/2025 20:57,rec7emS8tGnOSbjCl,8,,,Yes,Yes,Yes,No,Kindly improve your software so we could download non playstore apps just like mkopa and even watu.,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Not able to download other apps due to your software ??
RGP8144,MpPA6A,5/31/2025 17:51,recLk28qj2QkAqNFO,0,,,Yes,No,Yes,Yes,"I finish paying my phone ,but the app is still there and they lock my phone daily!!!!despite having paid extra amount",Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Improve on your services!esp once someone pays
q4G9LRG,L4O7dy,6/1/2025 11:23,recoYgQuo7UHRic7M,2,,,No,No,No,Yes,The mophone app is not working,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,Non
7RxaBx2,RygyPd,6/1/2025 11:25,recnZDA0NGP4ICP1P,6,,,Yes,Yes,No,No,Z,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Why is that wife was told to pay cash to get phone
rjPJxzv,q1p1Zg,6/1/2025 11:26,rec19ZURsb3ZhUhtm,0,,,No,No,Yes,Yes,You guys are not good people how can I return my phone for refund and then you refuse to refund me back the money and I have paid a lot of money.Am directing you that am coming to collect my phone anytime my id number is 22695566,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,I will come collect my phone.Please be aware
ZjaZ52a,LLgL21,6/1/2025 11:31,recd0sGXDYPKMmV67,7,,,No,Yes,,,,,,,,
NpobKKB,9jajPQ,6/1/2025 11:32,recfvLZp08nPJVUJF,0,,,No,No,No,Yes,Got a phone and it spiled 3 days after. Took it back and was told to pat for the repair,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,I wasn't pleased with being told to pay for the repair while the phone was 3 dats old
A7vjPDy,9jajb4,6/1/2025 11:33,recQrlgZenz2uIJXp,3,,,No,No,Yes,Yes,It has a battery problem,Yes,"No, I have never used it",MoPhones App,Yes,Not reliability
44rp4EY,QlXQqX,6/1/2025 11:42,recbfBii4UMgX1GAL,5,,,Yes,No,No,Yes,Account statement,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,0
vGYdGaQ,ZrgB7o,6/1/2025 11:43,recm2CiZQ0HgthElu,10,,,Yes,Yes,Yes,Yes,Very good,,,Reach Out via a Sales Agent,,
EkWZjOl,x5o5gv,6/1/2025 11:44,recYDWYYh8zJjyMkv,10,,,Yes,No,No,Yes,I brought my phone for repair and you have not responded yet. I'm now borrowing a phone to keep up with daily needs,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Good
GxlQexO,kBpodJ,6/1/2025 11:44,recc05qJkVJdQIvAD,8,,,,,,,,,,,,
aQeNlqE,pNz2Ly,6/1/2025 11:48,recxcaXnDMIks6Br3,10,,,Yes,Yes,Yes,Yes,,,,,,
gDGkbLd,2GZWNM,6/1/2025 11:48,recAipXd48m5bBSof,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Good service only once was my phone locked but was sorted out in less than an hour
xXYlrYd,jApRVQ,6/1/2025 11:53,rec2hc8U99dmeuuey,10,,,Yes,Yes,No,No,No,,,,,
9qQoBr1,7reyqA,6/1/2025 11:56,recCz9I6o8px3ZiVs,9,,,,,,,,,,,,
1AVpXZQ,ZrgMzV,6/1/2025 11:59,reclc4aKIWsNxd1Ti,0,,,No,,,,,,,,,
KY1az7A,2GZpJe,6/1/2025 12:00,rec57hI40IWkwN2xm,10,,,No,Yes,Yes,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,OK
RGPVxXd,OMg6YM,6/1/2025 12:02,rec8BN04wIJsIzb1x,10,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
WOzjrqj,ZrgMka,6/1/2025 12:05,recOKEeH8zzhPYyy2,4,,,No,Yes,No,"No, I have never looked for customer care",Cannot support esim,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone is too expensive.
rjPkajN,y5GONg,6/1/2025 12:08,recl4CvbeCM0PEEEy,0,,,No,No,No,"No, I have never looked for customer care",No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
VLJ4QVl,6E9qxO,6/1/2025 12:10,reczGfRQYnyPFAARj,10,,,Yes,Yes,Yes,No,,,,,,
RGPVMk4,E7gp8A,6/1/2025 12:11,recHj4QvB2voVBz2m,,,,Yes,Yes,,,,,,,,
2EPDa5j,84W9Rl,6/1/2025 12:13,recUmAYucpcCQ7wmD,9,,,Yes,Yes,No,No,No challenge,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
